sku_id, annual_units, case_pct, min_each_cases,units_case,case_pallet
38541,4391,0,4,500,45
31172,4386,0,4,42,45
12129.1,4376,0,4,120,45
23248,4338,0,4,14,45
39992,4324,0,4,18,45
39993,4324,0,4,0,45
38994,4323,0,4,80,45
33822,4305,0,4,1500,45
33881,4272,0,4,20,45
4305,4256,0,4,200,45
39990,4226,0,4,0,45
39991,4226,0,4,14,45
40005,4205,0,4,0,45
33899,4203,0,4,20,45
38993,4156,0,4,90,45
35024,4149,0,4,5000,45
38552,4142,0,4,2100,45
38553,4142,0,4,50,45
23505,4142,0,4,110,45
31299,4135,0,4,24,45
31582.9,4133,0,4,9,45
31578.9,4123,0,4,10,45
40004,4110,0,4,0,45
23249,4042,0,4,12,45
31307,4012,0,4,16,45
12143,3996,0,4,40,45
39641,3953,0,4,225,45
10411,3928,0,4,200,45
14303,3898,0,4,70,45
14301,3876,0,4,70,45
20081,3875,0,4,16,45
10920,3862,0,4,20,45
31584.9,3803,0,4,11,45
34524.9,3800,0,4,9,45
31576.9,3785,0,4,14,45
27609,3779,0,4,50,45
34525.9,3757,0,4,13,45
16981,3732,0,4,60,45
20688,3724,0,4,88,45
31608,3718,0,4,16,45
37560,3709,0,4,45,45
31609,3690,0,4,18,45
39986,3684,0,4,18,45
39987,3684,0,4,0,45
39982,3657,0,4,0,45
39983,3657,0,4,0,45
23506,3654,0,4,100,45
39984,3633,0,4,16,45
39985,3633,0,4,0,45
31580.9,3632,0,4,13,45
33882,3610,0,4,20,45
31300,3567,0,4,22,45
31611,3556,0,4,16,45
31610,3554,0,4,14,45
31583.9,3545,0,4,14,45
40002,3540,0,4,0,45
20082,3534,0,4,24,45
31579.9,3532,0,4,11,45
31308,3519,0,4,18,45
31585.9,3473,0,4,12,45
4697,3456,0,4,1440,45
4703,3456,0,4,1440,45
31577.9,3437,0,4,10,45
31581.9,3436,0,4,10,45
40665,3422,0,4,75,45
19429,3410,0,4,24,45
33886,3402,0,4,20,45
16514,3392,0,4,18,45
39515,3374,0,4,110,45
38515,3344,0,4,38,45
31586.9,3311,0,4,13,45
19423,3297,0,4,42,45
27603,3297,0,4,16,45
19430,3242,0,4,22,45
20083,3239,0,4,28,45
23375,3230,0,4,250,45
19428,3229,0,4,22,45
35157,3219,0,4,70,45
23376,3207,0,4,250,45
35168,3164,0,4,45,45
14315,3151,0,4,70,45
31587.9,3148,0,4,11,45
42333,3139,0,4,250,45
42351,3139,0,4,2000,45
11213.1,3137,0,4,140,45
12128.1,3126,0,4,120,45
12131.1,3124,0,4,120,45
23545,3074,0,4,42,45
33502,3051,0,4,100,45
36037,3035,0,4,200,45
39988,3010,0,4,12,45
39989,3010,0,4,18,45
33912.9,2988,0,4,16,45
24407,2947,0,4,36,45
31309,2945,0,4,18,45
42334,2913,0,4,110,45
40676,2911,0,4,360,45
35158,2901,0,4,90,45
11218.1,2889,0,4,150,45
40003,2880,0,4,0,45
33888,2868,0,4,20,45
32176,2861,0,4,20,45
33914.9,2852,0,4,16,45
34688,2847,0,4,100,45
34526.9,2842,0,4,9,45
19422,2828,0,4,50,45
33913.9,2827,0,4,16,45
39922,2827,0,4,100,45
11216.1,2826,0,4,140,45
43268,2806,0,4,420,45
32174,2790,0,4,20,45
12142,2785,0,4,66,45
34019,2785,0,4,16,45
32175,2783,0,4,20,45
39903,2766,0,4,100,45
34527.9,2762,0,4,12,45
11639,2751,0,4,40,45
4704,2750,0,4,125,45
4705,2750,0,4,50,45
4709,2750,0,4,144,45
11212.1,2747,0,4,140,45
27604,2743,0,4,16,45
33911.9,2739,0,4,16,45
10404,2736,0,4,250,45
31717,2731,0,4,125,45
20106,2717,0,4,36,45
33915.9,2696,0,4,16,45
35053,2693,0,4,45,45
23250,2686,0,4,24,45
35159,2678,0,4,56,45
14297,2672,0,4,10,45
34020,2666,0,4,16,45
20105,2666,0,4,48,45
34528.9,2644,0,4,9,45
33910.9,2635,0,4,16,45
33887,2631,0,4,20,45
34529.9,2625,0,4,12,45
16515,2623,0,4,18,45
34387,2620,0,4,300,45
27548,2616,0,4,250,45
39639,2614,0,4,250,45
16516,2606,0,4,18,45
34109,2601,0,4,1,45
23229,2601,0,4,18,45
20099,2547,0,4,18,45
34110,2524,0,4,1,45
34018,2516,0,4,32,45
24397,2508,0,4,14,45
39789,2491,0,4,300,45
27605,2487,0,4,18,45
20102,2472,0,4,20,45
18018,2456,0,4,38,45
35160,2412,0,4,52,45
34818,2402,0,4,750,45
34820,2402,0,4,240,45
41762,2389,0,4,150,45
34025,2386,0,4,1,45
37739,2386,0,4,500,45
34108,2382,0,4,1,45
39405,2372,0,4,200,45
34107,2369,0,4,1,45
31590.9,2352,0,4,10,45
34026,2346,0,4,1,45
19486,2343,0,4,16,45
33907.9,2335,0,4,16,45
19487,2332,0,4,16,45
30860.9,2330,0,4,11,45
24398,2325,0,4,16,45
18019,2311,0,4,32,45
32181,2307,0,4,17,45
23230,2305,0,4,16,45
42314,2286,0,4,96,45
34024,2285,0,4,1,45
23252,2276,0,4,22,45
20103,2275,0,4,20,45
17391,2267,0,4,16,45
42315,2262,0,4,84,45
